Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter
Bacteria,Acidobacteria,Acidobacteria_Gp1,Gp1,unclassified,
Bacteria,Acidobacteria,Acidobacteria_Gp10,Gp10,unclassified,
Bacteria,Acidobacteria,Acidobacteria_Gp16,Gp16,unclassified,
Bacteria,Acidobacteria,Acidobacteria_Gp3,Gp3,unclassified,
Bacteria,Acidobacteria,Acidobacteria_Gp4,Gp4,unclassified,
Bacteria,Acidobacteria,Acidobacteria_Gp6,Gp6,unclassified,
Bacteria,Acidobacteria,Acidobacteria_Gp7,Gp7,unclassified,
Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,Geothrix
Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,unclassified
Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Iamiaceae,Iamia
Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,unclassified,
Bacteria,Actinobacteria,Actinobacteria,Acidimicrobidae_incertae_sedis,Ilumatobacter,unclassified
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinobaculum
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Arcanobacterium
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Mobiluncus
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,unclassified
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Beutenbergiaceae,unclassified
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Bogoriellaceae,unclassified
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Brevibacteriaceae,Brevibacterium
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Cellulomonas
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,unclassified
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Turicella
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,unclassified
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cryptosporangiaceae,Cryptosporangium
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dermabacteraceae,Brachybacterium
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dermabacteraceae,Dermabacter
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dermabacteraceae,unclassified
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dermacoccaceae,Dermacoccus
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dermacoccaceae,Kytococcus
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dietziaceae,Dietzia
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Blastococcus
Bacteria,Actinobacteria,Actinobacteria ,Actinomycetales,Geodermatophilaceae,Geodermatophilus
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Modestobacter
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,unclassified
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Arsenicicoccus
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Janibacter
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Knoellia
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Ornithinimicrobium
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Phycicoccus
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Terrabacter
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Terracoccus
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Tetrasphaera
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,unclassified
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Jonesiaceae,Jonesia
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Kineosporiaceae,Kineococcus
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Kineosporiaceae,Kineosporia
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Kineosporiaceae,Quadrisphaera
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Kineosporiaceae,unclassified
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Agrococcus
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Agromyces
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Clavibacter
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Curtobacterium
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Frigoribacterium
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Leifsonia
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Leucobacter
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Mycetocola
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Plantibacter
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Rathayibacter
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Salinibacterium
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,unclassified
