Node identifier 1,Bodysite 1,Clade 1,Node  identifier 2,Bodysite 2,Clade 2,Houston p-value Spearman,Houston p-value Pearson,Houston p-value Bray-Curtis,Houston p-value Kullback-Leibler,St.Louis p-value Spearman,St.Louis p-value Pearson,St.Louis p-value Bray-Curtis,St.Louis p-value Kullback-Leibler,Houston p-value GBLM,St.Louis p-value GBLM,Fisher-merge p-value,Houston GBLM beta,St.Louis GBLM beta,Houston Spearman interaction type,Houston Pearson interaction type,Houston Bray-Curtis interaction type,Houston Kullback-Leibler interaction type,St.Louis Spearman interaction type,St.Louis Pearson interaction type,St.Louis Bray-Curtis interaction type,St.Louis Kullback-Leibler interaction type,Simes-merge p-value,Fisher-merge FDR-corrected p-value,Simes-merge FDR-corrected p-value,Number of dataset- or method-specific networks supporting relationship,Direction,Relationship between the same clade in different bodysites,Relationship within the same bodysite,GBLM supports relationship,"Ensemble (Pearson, Spearman, KLD or BC) supports relationship"
Tongue_dorsum|Staphylococcaceae-Gemella,Tongue-dorsum,Staphylococcaceae-Gemella,Tongue_dorsum|Veillonellaceae-Megasphaera,Tongue-dorsum,Veillonellaceae-Megasphaera,None,None,None,None,"0,0046643725",None,None,None,"7,12E-11",None,"9,88E-12","-0,0228702",NA,nan,nan,nan,nan,mutualExclusion,nan,nan,nan,"7,12E-10","1,72E-09","1,18E-07",2,-2,0,1,1,1
Tongue_dorsum|Staphylococcaceae-Gemella,Tongue-dorsum,Staphylococcaceae-Gemella,Tongue_dorsum|Prevotellaceae-Prevotella,Tongue-dorsum,Prevotellaceae-Prevotella,None,None,None,None,"0,0022006958","9,07E-05",None,None,None,"1,61E-09","2,16E-13",NA,"-0,116257",nan,nan,nan,nan,mutualExclusion,mutualExclusion,nan,nan,"1,61E-08","4,75E-11","2,03E-06",3,-3,,,,
Tongue_dorsum|Staphylococcaceae-Gemella,Tongue-dorsum,Staphylococcaceae-Gemella,Tongue_dorsum|Flavobacteriaceae-unclassified,Tongue-dorsum,Flavobacteriaceae-unclassified,None,None,None,None,None,None,None,None,"1,68E-08","1,61E-09","1,06E-15","0,202426","0,0742583",nan,nan,nan,nan,nan,nan,nan,nan,"1,61E-08","3,11E-13","2,03E-06",2,2,,,,0
Tongue_dorsum|Staphylococcaceae-Gemella,Tongue-dorsum,Staphylococcaceae-Gemella,Tongue_dorsum|Bacteroidales-Prevotellaceae,Tongue-dorsum,Bacteroidales-Prevotellaceae,None,None,None,None,"0,0035544418","0,0001142179",None,None,None,"1,61E-09","4,23E-13",NA,"-0,0322786",nan,nan,nan,nan,mutualExclusion,mutualExclusion,nan,nan,"1,61E-08","8,94E-11","2,03E-06",3,-3,,,,1
Tongue_dorsum|Staphylococcaceae-Gemella,Tongue-dorsum,Staphylococcaceae-Gemella,Tongue_dorsum|Firmicutes-Clostridia,Tongue-dorsum,Firmicutes-Clostridia,None,None,None,None,"0,0042249516","9,45E-05",None,None,None,"1,61E-09","4,16E-13",NA,"-0,201018",nan,nan,nan,nan,mutualExclusion,mutualExclusion,nan,nan,"1,61E-08","8,81E-11","2,03E-06",3,-3,,,,
Tongue_dorsum|Staphylococcaceae-Gemella,Tongue-dorsum,Staphylococcaceae-Gemella,Tongue_dorsum|Coriobacteriales-Coriobacteriaceae,Tongue-dorsum,Coriobacteriales-Coriobacteriaceae,None,None,None,None,"0,0014518514",None,None,None,"1,70E-19",None,"1,25E-20","-0,041988",NA,nan,nan,nan,nan,mutualExclusion,nan,nan,nan,"1,70E-18","6,73E-18","9,07E-16",2,-2,,,,
Tongue_dorsum|Staphylococcaceae-Gemella,Tongue-dorsum,Staphylococcaceae-Gemella,Tongue_dorsum|Clostridia-Clostridiales,Tongue-dorsum,Clostridia-Clostridiales,None,None,None,None,"0,0039584917","0,0001020758",None,None,None,None,"6,35E-06",NA,NA,nan,nan,nan,nan,mutualExclusion,mutualExclusion,nan,nan,"0,0010207583","0,0003646428","0,0407651295",2,-2,,,0,
Tongue_dorsum|Staphylococcaceae-Gemella,Tongue-dorsum,Staphylococcaceae-Gemella,Tongue_dorsum|Coriobacteriaceae-Atopobium,Tongue-dorsum,Coriobacteriaceae-Atopobium,None,None,None,None,"0,0013746859",None,None,None,"1,39E-16","5,64E-09","2,14E-24","-0,0421402","-0,152035",nan,nan,nan,nan,mutualExclusion,nan,nan,nan,"1,39E-15","1,75E-21","4,92E-13",3,-3,,,1,
Stool|Oxalobacteraceae-unclassified,Stool,Oxalobacteraceae-unclassified,Stool|Oxalobacteraceae-Oxalobacter,Stool,Oxalobacteraceae-Oxalobacter,None,None,None,None,None,None,None,None,"3,37E-05","0,00168777","1,01E-06","0,407886","0,175026",nan,nan,nan,nan,nan,nan,nan,nan,"0,000337034","7,09E-05","0,0159460875",2,2,,,,0
R_Antecubital_fossa|Burkholderiaceae-Ralstonia,R-Antecubital-fossa,Burkholderiaceae-Ralstonia,R_Antecubital_fossa|Burkholderiales-Comamonadaceae,R-Antecubital-fossa,Burkholderiales-Comamonadaceae,None,None,None,None,"0,0157086288",None,None,None,None,"0,000116422","2,60E-05",NA,"0,137856",nan,nan,nan,nan,copresence,nan,nan,nan,"0,00116422","0,0012444768","0,0454569392",2,2,,,,1
